Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,MB,Bus,DO,56,7726464,,2412709,,551358,,3651384,,0,,14341915,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,MB,Bus,PT,49,10247707,,2290978,,307100,,10640806,,0,,23486591,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,MB,Bus,PT,44,7270100,,1672085,,1578700,,4530768,,0,,15051653,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,MB,Bus,DO,43,16968063,,4817620,,876380,,10689047,,0,,33351110,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,DR,Demand Response,PT,29,3850312,,712502,,108617,,1272225,,0,,5943656,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,CB,Commuter Bus,PT,22,1946325,,384276,,362783,,1041165,,0,,3734549,,0,
"City of Santa Clarita, dba: Santa Clarita Transit",Santa Clarita,CA,90171,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,79309,"Santa Clarita, CA",278031,88,DR,Demand Response,PT,22,3069554,,684360,,648451,,2004341,,0,,6406706,,0,
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,DR,Demand Response,PT,21,1762628,,186999,,39347,,765788,,0,,2754762,,0,
Mecklenburg County,Charlotte,NC,40228,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15670,"Charlotte, NC--SC",1379873,88,DR,Demand Response,DO,21,1816665,,135557,,22635,,1631208,,0,,3606065,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,CB,Commuter Bus,PT,20,2735362,,401244,,42871,,1840232,,0,,5019709,,0,
Antelope Valley Transit Authority,Lancaster,CA,90121,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,67140,"Palmdale--Lancaster, CA",359559,88,DR,Demand Response,PT,19,789714,,107199,,254541,,1880631,,0,,3032085,,0,
Monterey-Salinas Transit,Monterey,CA,90062,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,80362,"Seaside--Monterey--Pacific Grove, CA",123495,88,MB,Bus,PT,16,2370773,,411345,,198009,,709091,,0,,3689218,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,DR,Demand Response,DO,14,1975723,,585025,,372292,,562831,,0,,3495871,,0,
Centre Area Transportation Authority,State College,PA,30054,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,84493,"State College, PA",83674,88,VP,Vanpool,DO,11,93892,,50767,,12413,,88228,,0,,245300,,0,
"Town of Chapel Hill, dba: Chapel Hill Transit",Chapel Hill,NC,40051,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,25228,"Durham, NC",396118,88,MB,Bus,PT,0,0,,0,,0,,0,,0,,0,,315496,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,DR,Demand Response,DO,51,0,,0,,0,,0,,5147518,,5147518,,0,
Perkins County Public Transit,Grant,NE,70126,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,70884,,70884,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,MB,Bus,DO,42,13245702,,4788445,,570359,,7417430,,0,,26021936,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,DR,Demand Response,TX,40,148927,,0,,6888,,146950,,0,,302765,,0,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,CB,Commuter Bus,DO,30,0,,0,,0,,0,,1898372,,1898372,,0,
Capital Area Rural Transportation System (CARTS - RURAL),Cedar Creek,TX,66271,Independent Public Agency or Authority of Transit Service,Rural Reporter,2022,,,,87,MB,Bus,DO,6,0,,0,,0,,0,,41861,,41861,,0,
"City of Montebello, dba: Montebello Bus Lines",Montebello,CA,90041,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,51445,"Los Angeles--Long Beach--Anaheim, CA",12237376,87,DR,Demand Response,PT,5,172894,,26786,,24221,,144719,,0,,368620,,0,
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA",398569,86,MB,Bus,DO,64,9259841,,3914250,,765223,,2430166,,0,,16369480,,0,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA",169038,86,MB,Bus,DO,51,20364882,,6338417,,2592539,,11992372,,0,,41288210,,0,
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL",390172,86,MB,Bus,DO,45,6187249,,1967588,,242584,,944735,,0,,9342156,,0,
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit Authority",Pensacola,FL,40038,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,68482,"Pensacola, FL--AL",390172,86,DR,Demand Response,PT,41,2743673,,183621,,104235,,1216132,,0,,4247661,,0,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL",510675,86,MB,Bus,DO,35,7317915,,2304549,,244963,,914115,,0,,10781542,,0,
"Brevard Board of County Commissioners, dba: Space Coast Area Transit",Titusville,FL,40063,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,67105,"Palm Bay--Melbourne, FL",510675,86,DR,Demand Response,DO,32,2552512,,809707,,86760,,550509,,0,,3999488,,0,
Santa Cruz Metropolitan Transit District,Santa Cruz,CA,90006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,79336,"Santa Cruz, CA",169038,86,DR,Demand Response,DO,29,4372492,,264803,,15410,,664087,,0,,5316792,,0,
Chattanooga Area Regional Transportation Authority,Chattanooga,TN,40001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,2022,15832,"Chattanooga, TN--GA",398569,86,DR,Demand Response,DO,20,2066193,,500500,,70976,,439654,,0,,3077323,,0,
